trade_index,entry_time,exit_time,side,entry_price,exit_price,quantity,pnl,pnl_pct,leverage,entry_fee,exit_fee,funding_fee,liquidated
29,2024-04-02 11:00:00+00:00,2024-04-04 17:00:00+00:00,buy,65717.04209999999,68812.9763,0.07612180707080242,232.93124665800568,0.2329312466580057,5.0,2.50125,2.6190840529381494,0.0,False
30,2024-04-05 05:00:00+00:00,2024-04-07 16:00:00+00:00,buy,66940.85369999999,70072.94600000001,0.0747301494304068,231.3264723694074,0.2313264723694074,5.0,2.50125,2.6182808628044136,0.0,False
31,2024-04-09 07:00:00+00:00,2024-04-09 16:00:00+00:00,buy,70479.222,68628.36865,0.07097836579410596,-133.74045838766162,-0.13374045838766163,5.0,2.50125,2.435564726946227,0.0,False
32,2024-04-09 16:00:00+00:00,2024-04-12 18:00:00+00:00,buy,68697.03134999999,66489.33870000001,0.07281974055782835,-163.10413256923496,-0.16310413256923495,5.0,2.50125,2.4208681969977883,0.0,False
33,2024-04-12 18:00:00+00:00,2024-04-13 19:00:00+00:00,buy,66555.8613,64746.71045,0.0751624260025916,-138.34547070181313,-0.13834547070181313,5.0,2.50125,2.4332599165546744,0.0,False
34,2024-04-13 19:00:00+00:00,2024-04-13 20:00:00+00:00,buy,64811.48955,61797.385850000006,0.07718538849721593,-234.91342842246516,-0.23491342842246515,5.0,2.50125,2.3849276174723024,0.0,False
35,2024-04-13 20:00:00+00:00,2024-04-14 05:00:00+00:00,buy,61859.21415,64338.0149,0.08086911656959676,197.75676846731142,0.1977567684673114,5.0,2.50125,2.601479213402277,0.0,False
36,2024-04-15 16:00:00+00:00,2024-04-16 04:00:00+00:00,buy,64166.4672,62433.1678,0.07796128130925058,-137.49639564011608,-0.13749639564011606,5.0,2.50125,2.433684878941723,0.0,False
37,2024-04-16 04:00:00+00:00,2024-04-17 15:00:00+00:00,buy,62495.6322,60241.864,0.0800455939703255,-182.72510510470514,-0.18272510510470513,5.0,2.50125,2.4110478928797843,0.0,False
38,2024-04-17 15:00:00+00:00,2024-04-18 13:00:00+00:00,buy,60302.136,62728.12025,0.08295726041943191,198.55055448159737,0.19855055448159736,5.0,2.50125,2.6018765036003453,0.0,False
39,2024-04-19 01:00:00+00:00,2024-04-19 06:00:00+00:00,buy,61030.5,64563.702000000005,0.08196721311475409,286.8159369556619,0.28681593695566193,5.0,2.50125,2.646053360655738,0.0,False
40,2024-04-19 23:00:00+00:00,2024-04-22 17:00:00+00:00,buy,63819.293699999995,66473.9464,0.0783853864556323,205.37669381268992,0.20537669381268991,5.0,2.5012499999999998,2.6052929888974936,0.0,False
41,2024-04-24 14:00:00+00:00,2024-04-25 08:00:00+00:00,buy,65245.30634999999,63897.835100000004,0.07667218195228843,-105.71152311010361,-0.10571152311010361,5.0,2.5012499999999998,2.4495932195722614,0.0,False
42,2024-04-27 00:00:00+00:00,2024-04-30 08:00:00+00:00,buy,63186.47745,61873.947550000004,0.07917042066411316,-106.31090673831206,-0.10631090673831206,5.0,2.50125,2.449293227841387,0.0,False
43,2024-04-30 08:00:00+00:00,2024-04-30 16:00:00+00:00,buy,61935.85245,60285.34225,0.0807690505921179,-135.67811501563983,-0.13567811501563984,5.0,2.50125,2.4345949290766966,0.0,False
44,2024-04-30 16:00:00+00:00,2024-05-01 07:00:00+00:00,buy,60345.65775,57453.259000000005,0.08289743100861305,-242.03396331484538,-0.2420339633148454,5.0,2.50125,2.3813637870862387,0.0,False
45,2024-05-01 07:00:00+00:00,2024-05-03 12:00:00+00:00,buy,57510.740999999995,60574.49760000001,0.0869837514352319,263.7293621008653,0.2637293621008653,5.0,2.50125,2.6344985212762264,0.0,False
46,2024-05-07 23:00:00+00:00,2024-05-09 10:00:00+00:00,buy,62327.147999999994,60759.50505000001,0.08026197508668294,-128.1975787181253,-0.1281975787181253,5.0,2.50125,2.4383389403011435,0.0,False
47,2024-05-10 14:00:00+00:00,2024-05-15 12:00:00+00:00,buy,61065.3174,63703.23245,0.08192047815344689,213.3819669597665,0.2133819669597665,5.0,2.50125,2.609299631112087,0.0,False
48,2024-05-19 19:00:00+00:00,2024-05-20 18:00:00+00:00,buy,66035.90144999999,68647.45910000001,0.07575424716186714,195.13754654629935,0.19513754654629933,5.0,2.50125,2.6001682918477833,0.0,False
49,2024-05-21 14:00:00+00:00,2024-05-23 13:00:00+00:00,buy,70282.1235,68028.76860000001,0.07117741682918843,-162.72888307736898,-0.16272888307736896,5.0,2.50125,2.421056009509303,0.0,False
50,2024-05-23 13:00:00+00:00,2024-06-04 16:00:00+00:00,buy,68096.8314,70822.57100000001,0.0734615678461656,197.53566748608407,0.19753566748608406,5.0,2.50125,2.6013685522781906,0.0,False
51,2024-06-07 17:00:00+00:00,2024-06-11 02:00:00+00:00,buy,69868.917,68251.65710000001,0.07159836182948134,-118.17864526684055,-0.11817864526684055,5.0,2.50125,2.4433534202537452,0.0,False
52,2024-06-11 02:00:00+00:00,2024-06-11 11:00:00+00:00,buy,68319.9429,66886.14020000001,0.07322166541213546,-107.38171237808776,-0.10738171237808776,5.0,2.5012499999999998,2.448757289216792,0.0,False
53,2024-06-11 11:00:00+00:00,2024-06-12 14:00:00+00:00,buy,66953.0598,69925.02,0.07471652550224447,219.33129102077282,0.2193312910207728,5.0,2.5012499999999998,2.6122772700374775,0.0,False
54,2024-06-13 03:00:00+00:00,2024-06-14 16:00:00+00:00,buy,67504.83555,65253.5569,0.0741058023361113,-169.16726951712607,-0.16916726951712607,5.0,2.50125,2.417833594679796,0.0,False
55,2024-06-14 16:00:00+00:00,2024-06-21 08:00:00+00:00,buy,65318.84309999999,63581.7932,0.07658586347497634,-135.40171626587573,-0.13540171626587574,5.0,2.50125,2.4347332667546895,0.0,False
56,2024-06-21 08:00:00+00:00,2024-06-24 05:00:00+00:00,buy,63645.4068,62265.251800000005,0.0785995447514368,-110.87235223806768,-0.11087235223806767,5.0,2.5012499999999998,2.4470102226567905,0.0,False
